#distance to lens(arcsec)	z	log_Mstar
136.8	0.3041	9.49E+00
118.1	0.8838	1.11E+01
175.6	0.2905	9.33E+00
198	0.4917	9.82E+00
118.1	0	7.12E+00
59.7	0.2939	9.29E+00
87.5	0.2909	1.09E+01
84.8	0.2687	1.01E+01
102	0.4053	1.11E+01
173.3	0.1742	9.01E+00
185.6	0.1758	1.00E+01
164.3	0.6165	1.13E+01
72.4	0.3673	9.18E+00
118	0.3041	1.04E+01
35.8	0.292	1.06E+01
22.6	-0.76	1.11E+01
35.7	0.8116	1.17E+01
81.2	0.2909	1.10E+01
123	0.4505	1.13E+01
17.4	0.29	1.07E+01
20.9	0.2901	1.12E+01
120.4	0.453	1.03E+01
11.9	0.2906	1.13E+01
18.2	0.8833	1.10E+01
50	0	7.71E+00
54	-0.63	1.01E+01
36.9	-0.91	1.05E+01
41.1	0	7.11E+00
21.8	0.2888	9.65E+00
10.5	0.2914	9.29E+00
14	-1.4	1.08E+01
110.5	0	7.46E+00
77.8	0.4369	1.15E+01
77.2	-0.57	9.65E+00
