#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
  6.450155438569e-01 -1.140985278679e+00  1.246629774946e+00 -4.119630928001e-01   6.470040660523e-01 -1.142471146868e+00  1.246807059486e+00 -4.117716492410e-01
  6.470040660523e-01 -1.142471146868e+00  1.246807059486e+00 -4.117716492410e-01   6.750253189377e-01 -1.163276879221e+00  1.248359224774e+00 -4.099772637464e-01
  6.750253189377e-01 -1.163276879221e+00  1.248359224774e+00 -4.099772637464e-01   6.779239595232e-01 -1.165415063867e+00  1.248424897165e+00 -4.098935556166e-01
  6.779239595232e-01 -1.165415063867e+00  1.248424897165e+00 -4.098935556166e-01   6.810338059107e-01 -1.167706127570e+00  1.248476936359e+00 -4.098261197475e-01
  6.810338059107e-01 -1.167706127570e+00  1.248476936359e+00 -4.098261197475e-01   7.088567182191e-01 -1.188069830074e+00  1.248162310453e+00 -4.102968848301e-01
  7.088567182191e-01 -1.188069830074e+00  1.248162310453e+00 -4.102968848301e-01   7.132641592303e-01 -1.191273668203e+00  1.247995920440e+00 -4.105553676817e-01
  7.132641592303e-01 -1.191273668203e+00  1.247995920440e+00 -4.105553676817e-01   7.397534127339e-01 -1.210403394156e+00  1.246446911519e+00 -4.132171061740e-01
  7.397534127339e-01 -1.210403394156e+00  1.246446911519e+00 -4.132171061740e-01   7.546946139687e-01 -1.221098937014e+00  1.245232440599e+00 -4.155747003025e-01
  7.546946139687e-01 -1.221098937014e+00  1.245232440599e+00 -4.155747003025e-01   7.714220916203e-01 -1.232992877812e+00  1.243662164800e+00 -4.189566659914e-01
  7.714220916203e-01 -1.232992877812e+00  1.243662164800e+00 -4.189566659914e-01   7.841249907155e-01 -1.241968836476e+00  1.242363876373e+00 -4.220484395506e-01
  7.841249907155e-01 -1.241968836476e+00  1.242363876373e+00 -4.220484395506e-01   8.047514299708e-01 -1.256440689031e+00  1.240146691501e+00 -4.280201526831e-01
  8.047514299708e-01 -1.256440689031e+00  1.240146691501e+00 -4.280201526831e-01   8.134291875574e-01 -1.262491272687e+00  1.239198812929e+00 -4.308783699864e-01
  8.134291875574e-01 -1.262491272687e+00  1.239198812929e+00 -4.308783699864e-01   8.351270876728e-01 -1.277522610683e+00  1.236863732037e+00 -4.388946126710e-01
  8.351270876728e-01 -1.277522610683e+00  1.236863732037e+00 -4.388946126710e-01   8.383485820747e-01 -1.279742481421e+00  1.236526835902e+00 -4.401880855469e-01
  8.383485820747e-01 -1.279742481421e+00  1.236526835902e+00 -4.401880855469e-01   8.398109690111e-01 -1.280749177534e+00  1.236375090115e+00 -4.407838748368e-01
  8.398109690111e-01 -1.280749177534e+00  1.236375090115e+00 -4.407838748368e-01   8.635642031501e-01 -1.297012932491e+00  1.234044551799e+00 -4.511949292967e-01
  8.635642031501e-01 -1.297012932491e+00  1.234044551799e+00 -4.511949292967e-01   8.766648403105e-01 -1.305912396149e+00  1.232897961710e+00 -4.575051690142e-01
  8.766648403105e-01 -1.305912396149e+00  1.232897961710e+00 -4.575051690142e-01   8.972540954557e-01 -1.319798235678e+00  1.231353565051e+00 -4.681853419415e-01
  8.972540954557e-01 -1.319798235678e+00  1.231353565051e+00 -4.681853419415e-01   9.164741728231e-01 -1.332649990837e+00  1.230245323324e+00 -4.789394407928e-01
  9.164741728231e-01 -1.332649990837e+00  1.230245323324e+00 -4.789394407928e-01   9.381988786516e-01 -1.347048337556e+00  1.229434621184e+00 -4.919273513094e-01
  9.381988786516e-01 -1.347048337556e+00  1.229434621184e+00 -4.919273513094e-01   9.607452207613e-01 -1.361847869945e+00  1.229137190571e+00 -5.062489764711e-01
  9.607452207613e-01 -1.361847869945e+00  1.229137190571e+00 -5.062489764711e-01   9.706976063485e-01 -1.368334301729e+00  1.229192180819e+00 -5.128189648834e-01
  9.706976063485e-01 -1.368334301729e+00  1.229192180819e+00 -5.128189648834e-01   9.798872764403e-01 -1.374298439434e+00  1.229347402286e+00 -5.190102999192e-01
  9.798872764403e-01 -1.374298439434e+00  1.229347402286e+00 -5.190102999192e-01   9.933070565197e-01 -1.382964504761e+00  1.229757333184e+00 -5.282537364502e-01
  9.933070565197e-01 -1.382964504761e+00  1.229757333184e+00 -5.282537364502e-01   1.010113747869e+00 -1.393745026695e+00  1.230582052029e+00 -5.401426942876e-01
  1.010113747869e+00 -1.393745026695e+00  1.230582052029e+00 -5.401426942876e-01   1.016735684221e+00 -1.397970408145e+00  1.231002921547e+00 -5.449153721404e-01
  1.016735684221e+00 -1.397970408145e+00  1.231002921547e+00 -5.449153721404e-01   1.022358718554e+00 -1.401548541312e+00  1.231403044462e+00 -5.490049124538e-01
  1.022358718554e+00 -1.401548541312e+00  1.231403044462e+00 -5.490049124538e-01   1.040578929194e+00 -1.413080451346e+00  1.232969491545e+00 -5.624731706040e-01
  1.040578929194e+00 -1.413080451346e+00  1.232969491545e+00 -5.624731706040e-01   1.065293637884e+00 -1.428570615326e+00  1.235751358473e+00 -5.812158919541e-01
  1.065293637884e+00 -1.428570615326e+00  1.235751358473e+00 -5.812158919541e-01   1.065543092798e+00 -1.428726068176e+00  1.235783267514e+00 -5.814075699135e-01
  1.065543092798e+00 -1.428726068176e+00  1.235783267514e+00 -5.814075699135e-01   1.065782326334e+00 -1.428875135158e+00  1.235813940703e+00 -5.815914385174e-01
  1.065782326334e+00 -1.428875135158e+00  1.235813940703e+00 -5.815914385174e-01   1.095488568771e+00 -1.447256943858e+00  1.240162090199e+00 -6.047327599188e-01
  1.095488568771e+00 -1.447256943858e+00  1.240162090199e+00 -6.047327599188e-01   1.123016441465e+00 -1.464062970474e+00  1.245127274565e+00 -6.266468993465e-01
  1.123016441465e+00 -1.464062970474e+00  1.245127274565e+00 -6.266468993465e-01   1.125707357271e+00 -1.465693991232e+00  1.245659732329e+00 -6.288093419906e-01
  1.125707357271e+00 -1.465693991232e+00  1.245659732329e+00 -6.288093419906e-01   1.128888294620e+00 -1.467619304576e+00  1.246299798492e+00 -6.313697595512e-01
  1.128888294620e+00 -1.467619304576e+00  1.246299798492e+00 -6.313697595512e-01   1.156209041847e+00 -1.484033920259e+00  1.252264095412e+00 -6.535285641166e-01
  1.156209041847e+00 -1.484033920259e+00  1.252264095412e+00 -6.535285641166e-01   1.175477205007e+00 -1.495478703919e+00  1.256959557002e+00 -6.693076786135e-01
  1.175477205007e+00 -1.495478703919e+00  1.256959557002e+00 -6.693076786135e-01   1.187004287097e+00 -1.502273069781e+00  1.259955395147e+00 -6.787949272287e-01
  1.187004287097e+00 -1.502273069781e+00  1.259955395147e+00 -6.787949272287e-01   1.204684679190e+00 -1.512617667048e+00  1.264813937819e+00 -6.934020271908e-01
  1.204684679190e+00 -1.512617667048e+00  1.264813937819e+00 -6.934020271908e-01   1.214372273321e+00 -1.518246201848e+00  1.267607907334e+00 -7.014289454508e-01
  1.214372273321e+00 -1.518246201848e+00  1.267607907334e+00 -7.014289454508e-01   1.218104922974e+00 -1.520407378567e+00  1.268708814316e+00 -7.045253869332e-01
  1.218104922974e+00 -1.520407378567e+00  1.268708814316e+00 -7.045253869332e-01   1.237285028896e+00 -1.531446355055e+00  1.274574912948e+00 -7.204620628837e-01
  1.237285028896e+00 -1.531446355055e+00  1.274574912948e+00 -7.204620628837e-01   1.249524127818e+00 -1.538432322489e+00  1.278496621597e+00 -7.306483573164e-01
  1.249524127818e+00 -1.538432322489e+00  1.278496621597e+00 -7.306483573164e-01   1.260737762062e+00 -1.544792876603e+00  1.282208048315e+00 -7.399882824655e-01
  1.260737762062e+00 -1.544792876603e+00  1.282208048315e+00 -7.399882824655e-01   1.281276612301e+00 -1.556342851366e+00  1.289289840477e+00 -7.571026478036e-01
  1.281276612301e+00 -1.556342851366e+00  1.289289840477e+00 -7.571026478036e-01   1.284712845523e+00 -1.558262494103e+00  1.290509576668e+00 -7.599659005704e-01
  1.284712845523e+00 -1.558262494103e+00  1.290509576668e+00 -7.599659005704e-01   1.295635560075e+00 -1.564340090116e+00  1.294451464575e+00 -7.690654658492e-01
  1.295635560075e+00 -1.564340090116e+00  1.294451464575e+00 -7.690654658492e-01   1.308986309954e+00 -1.571718119989e+00  1.299400499324e+00 -7.801813681336e-01
  1.308986309954e+00 -1.571718119989e+00  1.299400499324e+00 -7.801813681336e-01   1.313378816061e+00 -1.574133321465e+00  1.301059550215e+00 -7.838364091914e-01
  1.313378816061e+00 -1.574133321465e+00  1.301059550215e+00 -7.838364091914e-01   1.333607689762e+00 -1.585177347570e+00  1.308890863522e+00 -8.006500675902e-01
  1.333607689762e+00 -1.585177347570e+00  1.308890863522e+00 -8.006500675902e-01   1.345849222278e+00 -1.591797387499e+00  1.313777900785e+00 -8.108061488180e-01
  1.345849222278e+00 -1.591797387499e+00  1.313777900785e+00 -8.108061488180e-01   1.358742477645e+00 -1.598717719622e+00  1.319041320428e+00 -8.214841882461e-01
  1.358742477645e+00 -1.598717719622e+00  1.319041320428e+00 -8.214841882461e-01   1.378708693635e+00 -1.609327887303e+00  1.327418912107e+00 -8.379758434557e-01
  1.378708693635e+00 -1.609327887303e+00  1.327418912107e+00 -8.379758434557e-01   1.384381861126e+00 -1.612318803897e+00  1.329847997958e+00 -8.426508449952e-01
  1.384381861126e+00 -1.612318803897e+00  1.329847997958e+00 -8.426508449952e-01   1.405106687749e+00 -1.623154371986e+00  1.338897950921e+00 -8.596835497377e-01
