#    SUBHALO_ID	   Rein_y(arcsec)
      198301	     0.108046
      198762	     0.414561
      200242	      1.02625
      200456	     0.772876
      200818	     0.804185
      201051	     0.454522
      201307	     0.508826
      201832	     0.911479
      202762	     0.399102
      203557	     0.941705
      203727	     0.457824
      203900	     0.770916
      204086	     0.437077
      204301	     0.707017
      204724	     0.904772
      205151	     0.108955
      205724	     0.184796
      206919	     0.511997
      207783	     0.686201
      208021	     0.438322
      208884	     0.568004
      209388	     0.597804
      209566	     0.736407
      209727	     0.625082
      210030	     0.397151
      210225	     0.646427
      210414	     0.678847
      210510	     0.665431
      210687	     0.913040
      210984	     0.852666
      211137	     0.678278
      211697	     0.455054
      211895	     0.522831
      212425	     0.733671
      213179	     0.338493
      213396	     0.831786
      213684	     0.582178
      213861	     0.237711
      214895	     0.366521
      215239	     0.848566
      215360	     0.418820
      215634	     0.724352
      216060	     0.821862
      216203	     0.896339
      216545	     0.296824
      216735	     0.351647
      217576	     0.686047
      217752	     0.623477
      218142	     0.827137
      218313	     0.735187
      218550	     0.432251
      218701	     0.509787
      219055	     0.600020
      219255	     0.387741
      219449	     0.329978
      219737	     0.123679
      219931	     0.349480
      220028	     0.464325
      220114	     0.244808
      220282	     0.314810
      220612	     0.367315
      220920	     0.428634
      221116	     0.418945
      221447	     0.698044
      221618	     0.512173
      221919	     0.299580
      223058	     0.833589
      224337	     0.851480
      224514	     0.656376
      224771	     0.727643
      224884	     0.392594
      225683	     0.158793
      225780	     0.547985
      225935	     0.197851
      226400	     0.700172
      226540	     0.315157
      226827	     0.397823
      226958	     0.569025
      228085	     0.466492
      228201	     0.459991
      228508	     0.692364
      229028	     0.273639
      229347	     0.569728
      229532	     0.605555
      229895	     0.742574
      229983	     0.364648
      230097	     0.602356
      230519	     0.447938
      230661	     0.419836
      231331	     0.299074
      231499	     0.687127
      232066	     0.146213
      232389	     0.232468
      233756	     0.284068
      233951	     0.736362
      234229	     0.273639
      234375	     0.220083
      235407	     0.700148
      235540	     0.457824
      235714	     0.606686
      236217	     0.835242
      236630	     0.684595
      237278	     0.158793
      237389	     0.347313
      237643	     0.574822
      237758	     0.266187
      238069	     0.639713
      238156	     0.460961
      238319	     0.747125
      238767	     0.144251
      238929	     0.711142
      239433	     0.329517
      239558	     0.234635
      239812	     0.219806
      240196	     0.414373
      240519	     0.575430
      240677	     0.746798
      240784	     0.341689
      241517	     0.606539
      241918	     0.630280
      242713	     0.533380
      243493	     0.353814
      243738	     0.205559
      244050	     0.137481
      244133	     0.310806
      244226	     0.525826
      244514	     0.302292
      244714	     0.629430
      244839	     0.501626
      244968	     0.710458
      245336	     0.178295
      245996	     0.593793
      246303	     0.693022
      246585	     0.428519
      246686	     0.165294
      246746	     0.120669
      247120	     0.573183
      247366	     0.121596
      247491	     0.796151
      247546	     0.230301
      248250	     0.325172
      248355	     0.403210
      248845	     0.599929
      248933	     0.412106
      249604	     0.333797
      250214	     0.481430
      250612	     0.175795
      251505	     0.674029
      251674	     0.267138
      251807	     0.183283
      252214	     0.342919
      252480	     0.707816
      252884	     0.451356
      253503	     0.467831
      253581	     0.659176
      253754	     0.283817
      253944	     0.770099
      254031	     0.328102
      254381	     0.340909
      254579	     0.220508
      254903	     0.426326
      255103	     0.523238
      255201	     0.471507
      255648	     0.413122
      255992	     0.382518
      256176	     0.250089
      256338	     0.478249
      256444	     0.139011
      256703	     0.186580
      256774	     0.529238
      256986	     0.165294
      257184	     0.437523
      257403	     0.743258
      257595	     0.169555
      258073	     0.145170
      258765	     0.454855
      258881	     0.386898
      259133	     0.349583
      259208	     0.784942
      259355	     0.216333
      259479	     0.222384
      260092	     0.414663
      260412	     0.574820
      260441	     0.685964
      260610	     0.265192
      261166	     0.490095
      261279	     0.423154
      261363	     0.223800
      262393	     0.369847
      262515	     0.192349
      263096	     0.233101
      263168	     0.117622
      263211	     0.660496
      263374	     0.317469
      263539	     0.108955
      264184	     0.375645
      264603	     0.608768
      264941	     0.425813
      265601	     0.188391
      265730	     0.405170
      265981	     0.411818
      266199	     0.580129
      266327	     0.238356
      266384	     0.364765
      266488	     0.593900
      266577	     0.233436
      266684	     0.146686
      266938	     0.514101
      267371	     0.134120
      267576	     0.272951
      267722	     0.329833
      267939	     0.519880
      268012	     0.395604
      268519	     0.244860
      269258	     0.112686
      269350	     0.340767
      269591	     0.419651
      269779	     0.585866
      269888	     0.492720
      270166	     0.282546
      270445	     0.263105
      270489	     0.145792
      270636	     0.234554
      270719	     0.436110
      270982	     0.405547
      271073	     0.303495
      271265	     0.315903
      271543	     0.119789
      272033	     0.331278
      272271	     0.165294
      272519	     0.269175
      272980	     0.516318
      273260	     0.695680
      273320	     0.283456
      273370	     0.206497
      273459	     0.240768
      273764	     0.243892
      274081	     0.300804
      274614	     0.574161
      274701	     0.479872
      274946	     0.125790
      275016	     0.413225
      275286	     0.218080
      275372	     0.164194
      275537	     0.572915
      275833	     0.500068
      275895	     0.333773
      276030	     0.281981
      276551	     0.292017
      277064	     0.315961
      277247	     0.197797
      277309	     0.369437
      277369	     0.208894
      277596	     0.192335
      277717	     0.111122
      277836	     0.363980
      278125	     0.314068
      278717	     0.290057
      279339	     0.209793
      279387	     0.179871
      279828	     0.344139
      279889	     0.617144
      280004	     0.108955
      280123	     0.154018
      280173	     0.232468
      280406	     0.291419
      280450	     0.396956
      281000	     0.142121
      281040	     0.176128
      282049	     0.392332
      282185	     0.134720
      282235	     0.443123
      282281	     0.178002
      282696	     0.549529
      282839	     0.480755
      282947	     0.514543
      283028	     0.147076
      283120	     0.450623
      283300	     0.313833
      283508	     0.305037
      283547	     0.553768
      283784	     0.408339
      285101	     0.130780
      285514	     0.261618
      286824	     0.368672
      287140	     0.226870
      287881	     0.535921
      287947	     0.105792
      288451	     0.299626
      288833	     0.290915
      289309	     0.333999
      289995	     0.331405
      290509	     0.122970
      291418	     0.339391
      291464	     0.408702
      291704	     0.362140
      291964	     0.315071
      292075	     0.362864
      292354	     0.206696
      292855	     0.429826
      293357	     0.114853
      295149	     0.181712
      295851	     0.332134
      295946	     0.228721
      295999	     0.168717
      296044	     0.223361
      296088	     0.157747
      296331	     0.114754
      296418	     0.119817
      296499	     0.311926
      296924	     0.468369
      296999	     0.253838
      297445	     0.221633
      300047	     0.346784
      300157	     0.142305
      301412	     0.309059
      301721	     0.178666
      302273	     0.128474
      302533	     0.118127
      302744	     0.108026
      303313	     0.142134
      303501	     0.109685
      303915	     0.136351
      304512	     0.398660
      304580	     0.411077
      305875	     0.127592
