#    SUBHALO_ID	   Rein_z(arcsec)
      198301	     0.463572
      198507	     0.585473
      198762	      1.07320
      199492	     0.401869
      200242	     0.836921
      200818	     0.999257
      201307	     0.480929
      201832	     0.905603
      202762	     0.530682
      203357	     0.522831
      203557	     0.913293
      203727	     0.425321
      203900	     0.852861
      204445	     0.566169
      204724	     0.506746
      205151	     0.260637
      205892	     0.225536
      206919	     0.481660
      207783	     0.617652
      208021	     0.472993
      208884	     0.559086
      209388	     0.219217
      209566	      1.03834
      209727	     0.798010
      210225	     0.619876
      210510	     0.634829
      210687	     0.745128
      211697	     0.531660
      213179	     0.404103
      213396	     0.421863
      213684	     0.582178
      213861	     0.138576
      214344	     0.784145
      214895	     0.658724
      216545	     0.265743
      216735	     0.392818
      217384	     0.854406
      217576	     0.707536
      217752	     0.644801
      217962	     0.347275
      218313	     0.457824
      218391	     0.494662
      218550	     0.564783
      219255	     0.311469
      219931	     0.340812
      220028	     0.655012
      220114	     0.209666
      220282	     0.455658
      220920	     0.352753
      221116	     0.442628
      221260	     0.530174
      221618	     0.501203
      221759	     0.613445
      221919	     0.519409
      222780	     0.615636
      223058	     0.794468
      223190	     0.370530
      224337	     0.806108
      224771	     0.690140
      225683	     0.197797
      226241	     0.401485
      226400	     0.622316
      226958	     0.551441
      227473	     0.267138
      227789	     0.680225
      228201	     0.362481
      228508	     0.724409
      228889	     0.354377
      229028	     0.555335
      229174	     0.699273
      229347	     0.550592
      229532	     0.655081
      229895	     0.823106
      229983	     0.353814
      230383	     0.208385
      230519	     0.176997
      230661	     0.510068
      231499	     0.451882
      231642	     0.462158
      231786	     0.394964
      233951	     0.689331
      234077	     0.427215
      234229	     0.264971
      234375	     0.440327
      234484	     0.403398
      234605	     0.686438
      234734	     0.580923
      234864	     0.669245
      235407	     0.500555
      235714	     0.560637
      235881	     0.596679
      236217	     0.545629
      236390	     0.314333
      236630	     0.702129
      236987	     0.269296
      237149	     0.297074
      237758	     0.220892
      238069	     0.614332
      238319	     0.680049
      238576	     0.238968
      238660	     0.390651
      239346	     0.325345
      240065	     0.276975
      240196	     0.456247
      240357	     0.319508
      240519	     0.504548
      240677	     0.762594
      240784	     0.203408
      241166	     0.269561
      241517	     0.595801
      241918	     0.616441
      243552	     0.302107
      243738	     0.230292
      244133	     0.227482
      244226	     0.455327
      244714	     0.623745
      244839	     0.190964
      244968	     0.615873
      245996	     0.545039
      246303	     0.693022
      246585	     0.369263
      246746	     0.202902
      246889	     0.390019
      247169	     0.220540
      247366	     0.254028
      247491	     0.598040
      247546	     0.119789
      248250	     0.488482
      248845	     0.562747
      248933	     0.361259
      249604	     0.295017
      250139	     0.451647
      250214	     0.656185
      250329	     0.250469
      251164	     0.412744
      251505	     0.689792
      252214	     0.293009
