#sersic	abs_mag	color	mor
#mor	0:elliptical	1:spiral
1.346875000000000044e+00 -2.866128921508789062e+01 2.693313598632812500e+00 0.000000000000000000e+00
2.614374999999999893e+00 -2.625184631347656250e+01 2.866813659667968750e+00 1.000000000000000000e+00
2.516875000000000195e+00 -2.611370277404785156e+01 3.215709686279296875e+00 1.000000000000000000e+00
2.516875000000000195e+00 -2.525708198547363281e+01 2.880401611328125000e+00 1.000000000000000000e+00
3.491874999999999840e+00 -2.631751632690429688e+01 3.038213729858398438e+00 1.000000000000000000e+00
2.858124999999999805e+00 -2.531266784667968750e+01 2.596019744873046875e+00 1.000000000000000000e+00
1.249374999999999902e+00 -2.514424896240234375e+01 2.902521133422851562e+00 0.000000000000000000e+00
1.054375000000000062e+00 -2.626039886474609375e+01 3.102653503417968750e+00 0.000000000000000000e+00
6.643750000000000488e-01 -2.583509254455566406e+01 2.697742462158203125e+00 0.000000000000000000e+00
1.493125000000000036e+00 -2.568951988220214844e+01 3.215299606323242188e+00 0.000000000000000000e+00
1.298124999999999973e+00 -2.585605049133300781e+01 3.111766815185546875e+00 0.000000000000000000e+00
1.249374999999999902e+00 -2.577331542968750000e+01 3.195751190185546875e+00 0.000000000000000000e+00
1.249374999999999902e+00 -2.531888961791992188e+01 2.715021133422851562e+00 0.000000000000000000e+00
9.568750000000000311e-01 -2.546644210815429688e+01 2.614641189575195312e+00 0.000000000000000000e+00
9.081249999999999600e-01 -2.518845176696777344e+01 2.870269775390625000e+00 0.000000000000000000e+00
8.106250000000000400e-01 -2.548151779174804688e+01 2.905431747436523438e+00 0.000000000000000000e+00
2.516875000000000195e+00 -2.501499557495117188e+01 2.902767181396484375e+00 1.000000000000000000e+00
7.131250000000000089e-01 -2.436428451538085938e+01 2.768074035644531250e+00 0.000000000000000000e+00
1.249374999999999902e+00 -2.495496559143066406e+01 3.297443389892578125e+00 0.000000000000000000e+00
1.249374999999999902e+00 -2.526693153381347656e+01 2.650571823120117188e+00 0.000000000000000000e+00
1.931875000000000009e+00 -2.471907997131347656e+01 2.831039428710937500e+00 1.000000000000000000e+00
1.005624999999999991e+00 -2.386009407043457031e+01 2.647750854492187500e+00 0.000000000000000000e+00
1.444374999999999964e+00 -2.406988143920898438e+01 3.318788528442382812e+00 0.000000000000000000e+00
1.005624999999999991e+00 -2.344677162170410156e+01 2.325668334960937500e+00 0.000000000000000000e+00
1.346875000000000044e+00 -2.406617164611816406e+01 2.958753585815429688e+00 0.000000000000000000e+00
9.568750000000000311e-01 -2.451282882690429688e+01 3.173852920532226562e+00 0.000000000000000000e+00
7.618749999999999689e-01 -2.342562103271484375e+01 2.446086883544921875e+00 0.000000000000000000e+00
